Latitude,Longitude
51.485605,-0.186411
51.484197,-0.159533
51.484482,-0.183575
51.497016,-0.197484
51.488868,-0.164963
51.505512,-0.21199
51.508555,-0.199334
51.485757,-0.150108
51.498093,-0.156812
51.483249,-0.167925
51.485757,-0.150108
51.522362,-0.208303
51.512273,-0.201349
51.493271,-0.182073
51.496174,-0.207025
51.493831,-0.177585
51.495775,-0.163821
51.496062,-0.170725
51.514915,-0.221279
51.486103,-0.172132
51.515955,-0.212735
51.496752,-0.168824
51.497013,-0.168237
51.49105,-0.160698
51.494377,-0.195427
51.514915,-0.221279
51.496776,-0.205273
51.514063,-0.109326
51.516969,-0.088883
51.517147,-0.088731
51.513288,-0.083704
51.517372,-0.080506
51.512777,-0.096553
51.518496,-0.105395
51.510896,-0.10254
51.513083,-0.104323
51.511208,-0.088548
51.515125,-0.142
51.512375,-0.11617
51.498409,-0.125679
51.523309,-0.164876
51.514663,-0.158305
51.492953,-0.138868
51.491495,-0.149011
51.516803,-0.151444
51.497216,-0.152525
51.523174,-0.196739
51.501204,-0.12614
51.512062,-0.175993
51.534522,-0.18043
51.499284,-0.129821
51.518522,-0.198364
51.510317,-0.116831
51.49434,-0.141261
51.513751,-0.117843
51.511086,-0.182661
51.52476,-0.165682
51.503363,-0.126196
51.515222,-0.142428
51.523096,-0.151334
51.534248,-0.174385
51.524623,-0.168427
51.527591,-0.174219
51.494627,-0.125402
51.521556,-0.156297
51.500553,-0.158874
51.514007,-0.168132
51.513707,-0.154741
51.509273,-0.135897
51.524715,-0.168567
51.516478,-0.182446
51.519885,-0.170202
51.485193,-0.137168
51.508854,-0.154937
51.520394,-0.156777
51.507023,-0.152849
51.533147,-0.172987
51.490065,-0.126885
51.519751,-0.155938
51.511078,-0.119394
51.544688,-0.134883
51.545038,-0.134291
51.554725,-0.172699
51.529542,-0.115606
51.528825,-0.115779
51.534283,-0.108489
51.540518,-0.144138
51.550117,-0.182837
51.571104,-0.173486
51.536844,-0.116746
51.517456,-0.124609
51.529732,-0.13881
51.536541,-0.103492
51.564444,-0.105073
51.551295,-0.126246
51.53915,-0.142896
51.547767,-0.130574
51.525463,-0.136101
51.553057,-0.12401
51.551972,-0.157664
51.555093,-0.161721
51.522946,-0.108094
51.54917,-0.191384
51.557106,-0.118506
51.520336,-0.1304
51.55359,-0.123555
51.552171,-0.085821
51.542244,-0.179689
51.526325,-0.133759
51.531784,-0.120848
51.518965,-0.129015
51.53137,-0.106302
51.543156,-0.084469
51.525897,-0.129452
51.567408,-0.13857
51.568263,-0.152821
51.561705,-0.124953
51.534666,-0.098812
51.522567,-0.101334
51.544337,-0.107351
51.553871,-0.129891
51.57157,-0.151532
51.523816,-0.100705
51.519021,-0.121229
51.535804,-0.09689
51.516209,-0.119759
51.513896,-0.249134
51.481702,-0.213354
51.485678,-0.202828
51.472822,-0.208949
51.53172,-0.232446
51.515715,-0.22658
51.493568,-0.236804
51.468433,-0.18666
51.513986,-0.249131
51.509721,-0.234595
51.514823,-0.221138
51.515799,-0.238107
51.471327,-0.211168
51.490694,-0.213291
51.511525,-0.234958
51.480608,-0.206484
51.555437,-0.065632
51.562958,-0.058243
51.540777,-0.076493
51.558505,-0.055403
51.5495,-0.060114
51.530317,-0.08025
51.554051,-0.068864
51.567592,-0.061076
51.540314,-0.070167
51.544661,-0.055705
51.544952,-0.046174
51.56785,-0.098871
51.5402,-0.052434
51.546451,-0.055196
51.566681,-0.060393
51.528572,-0.078017
51.551618,-0.079497
51.520593,-0.052262
51.515451,-0.062138
51.518564,-0.022367
51.511171,-0.010581
51.512867,-0.041926
51.512552,-0.039201
51.512378,-0.034165
51.514267,0.002957
51.51126,-0.010577
51.517533,-0.073869
51.518855,-0.028985
51.527808,-0.021245
51.515294,-0.036489
51.525252,-0.035052
51.532369,-0.025085
51.530566,-0.040878
51.529843,-0.013948
51.522933,-0.014826
51.471651,-0.4149
51.556966,-0.011901
51.62701,-0.011296
51.593749,-0.01737
51.557958,-0.01734
51.619204,-0.017705
51.570148,-0.025612
51.632451,0.007148
51.565489,-0.010664
51.590257,-0.018244
51.59377,-0.040036
51.558411,-0.006933
51.567998,-0.031477
51.601963,-0.019178
51.567631,0.011362
51.607071,-0.028776
51.563801,-0.01723
51.565668,-0.03735
51.57228,-0.018737
51.623171,0.008183
51.590065,-0.01753
51.555128,0.083662
51.568707,0.083705
51.57678,0.043951
51.566791,0.085205
51.590824,0.053389
51.557763,0.071952
51.563559,0.064568
51.578692,0.042594
51.564434,0.081201
51.546743,0.079817
51.561372,0.066201
51.61358,0.02726
51.576095,0.052292
51.595136,0.017342
51.593527,0.037629
51.558478,0.06203
51.56955,0.116934
51.548162,0.075843
51.574468,0.0476
51.571828,0.184002
51.594452,0.219596
51.513847,0.221008
51.592519,0.212427
51.554704,0.219535
51.565152,0.194793
51.51678,0.194196
51.612789,0.257758
51.57814,0.254452
51.592684,0.184425
51.575704,0.282764
51.609615,0.207192
51.577084,0.177038
51.574091,0.183245
51.609472,0.161688
51.564945,0.167223
51.615726,0.183365
51.5978,0.155791
51.590149,0.233102
51.540903,0.001963
51.547521,0.004129
51.521965,0.051875
51.523754,0.057577
51.547991,0.054921
51.532645,0.022075
51.532461,-0.00922
51.542305,0.00938
51.519607,0.016741
51.51516,0.008617
51.538418,0.026225
51.516226,0.009385
51.516169,0.012697
51.543755,0.008723
51.542055,0.085516
51.521714,0.096551
51.55258,0.16476
51.532745,0.108305
51.544042,0.144884
51.539723,0.075026
51.542145,0.08552
51.536673,0.069552
51.536673,0.069552
51.58081,0.140697
51.535385,0.081318
51.560525,0.148401
51.534231,0.110681
51.557134,0.146942
51.578347,0.137694
51.43541,-0.128259
51.445309,-0.095187
51.419245,-0.085052
51.428262,-0.131141
51.444727,-0.098089
51.47068,-0.112561
51.474027,-0.091542
51.451672,-0.121693
51.501418,-0.117054
51.461286,-0.11554
51.464772,-0.114244
51.476077,-0.112626
51.418434,-0.135137
51.454055,-0.113247
51.486147,-0.123733
51.464485,-0.141322
51.424,-0.123259
51.464017,-0.117587
51.424748,-0.130709
51.46662,-0.117335
51.452336,-0.101515
51.458528,-0.117381
51.488567,-0.123202
51.464205,-0.129384
51.48426,-0.123811
51.452783,-0.101353
51.43121,-0.118648
51.499708,-0.116981
51.470484,-0.111561
51.457765,-0.142891
51.459613,-0.128996
51.422584,-0.096851
