Latitude,Longitude
51.341876,-0.061428
51.343412,-0.018861
53.831627,-3.024683
53.395875,-2.648886
53.309852,-2.236949
53.444107,-1.395178
52.84701,0.999157
51.905786,-1.129695
52.06035,-1.354241
56.449195,-5.420767
53.439816,-2.243843
53.475995,-2.265145
54.867046,-1.492644
53.564081,-0.064117
52.223317,-1.968639
52.230274,-1.880784
52.919945,-0.612409
51.186377,-1.407166
55.700009,-4.719483
51.544011,-0.038282
53.975741,-1.178011
54.226287,-1.456816
54.296718,-1.39366
53.675569,-1.674044
53.468893,-1.50766
53.392463,-1.52358
52.930033,-1.417097
51.647548,-0.41542
51.581938,-2.991626
51.791706,-3.991527
55.846757,-4.378883
51.424718,-0.363159
53.670983,-1.747642
53.406018,-1.436935
52.868906,-1.564247
51.712921,-0.422111
51.880247,0.693115
51.453512,-0.974539
51.293307,-0.738739
51.429843,0.341521
50.73432,-3.503329
53.284299,-3.583061
51.566198,-3.033845
57.31011,-2.487663
55.945837,-4.030526
51.59539,0.236536
53.785031,-1.787179
53.41814,-1.453477
54.592863,-1.058223
51.667905,-1.295634
50.970514,-0.194159
50.288006,-5.202188
51.45483,-2.54745
51.528906,-0.126445
51.409612,-0.151601
53.800268,-3.03394
52.077105,-1.918693
51.929777,-2.562664
52.579737,-1.048373
52.697095,-1.075566
51.418155,-3.249674
51.554714,-0.054555
52.295005,-2.119177
53.189473,-1.803758
51.690779,-0.044095
51.867762,0.513684
51.585854,-0.381914
54.01428,-1.379981
53.79415,-1.565585
54.581158,-1.335339
52.96698,-1.171561
52.678228,1.41373
51.571052,-1.801556
51.768706,-4.6506
55.640613,-4.814523
53.423094,-2.518124
53.375494,-1.468739
53.550874,-0.497992
52.461473,-2.027785
53.495543,-1.869277
53.018829,-1.343898
52.635865,-1.159004
51.1449,0.834244
51.450729,0.304159
50.922419,-0.001085
55.940416,-3.1954
51.492909,0.121134
53.611488,-2.142192
52.451314,-1.775118
53.027996,-2.19865
52.919304,-1.48328
52.634037,1.292114
51.896879,0.895579
51.321924,-1.034926
53.299751,-4.6237
55.834769,-3.153486
51.405151,-0.165297
51.438988,0.050312
51.886116,-0.521067
51.432061,0.319089
